DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2019/01/18 00:00:00+00,1100,1255,200 BEECHER ST     ,MV THEFT,,Motor Vehicle,229
2019/01/18 00:00:00+00,2330,0900,200 ROBERTS AVE    ,LARCENY,,From Motor Vehicle,230
2019/01/18 00:00:00+00,1514,1514,300 CATAWBA ST     ,AGGRAVATED ASSAULT,Yes,N/A,231
2019/01/18 00:00:00+00,1630,0830,300 JOHN ST     ,BURGLARY,,From Building,232
2019/01/18 00:00:00+00,2130,0453,500 WOLF ST     ,ROBBERY,Yes,All Other,233
2019/01/18 00:00:00+00,1200,1600,600 E  COLVIN ST     ,LARCENY,,From Motor Vehicle,234
2019/01/18 00:00:00+00,2238,2238,700 S  BEECH ST     ,AGGRAVATED ASSAULT,,N/A,235
2019/01/19 00:00:00+00,1430,1430,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,236
2019/01/19 00:00:00+00,0000,0017,100 DICKERSON ST     ,LARCENY,,All Other,237
2019/01/19 00:00:00+00,1900,1900,100 FERRIS ST     ,LARCENY,,All Other,238
2019/01/19 00:00:00+00,1110,1110,100 MAGNOLIA ST     ,LARCENY,,All Other,239
2019/01/19 00:00:00+00,0930,0935,100 W  NEWELL ST     ,BURGLARY,Yes,From Building,240
2019/01/19 00:00:00+00,1140,1140,100 WASHINGTON SQ     ,ROBBERY,,All Other,241
2019/01/19 00:00:00+00,0100,0100,1900 E  FAYETTE ST     ,AGGRAVATED ASSAULT,,N/A,242
2019/01/19 00:00:00+00,1240,1243,2400 MIDLAND AV     ,AGGRAVATED ASSAULT,,N/A,243
2019/01/19 00:00:00+00,0410,0410,300 MERRIMAN AV     ,AGGRAVATED ASSAULT,,N/A,244
2019/01/19 00:00:00+00,0900,0900,400 AVERY AV     ,LARCENY,,All Other,245
2019/01/19 00:00:00+00,1200,1200,400 TULLY ST     ,MV THEFT,,Motor Vehicle,246
2019/01/19 00:00:00+00,2159,2159,500 COURT ST     ,MV THEFT,,Motor Vehicle,247
2019/01/20 00:00:00+00,2145,2145,1100 CANNON ST     ,MV THEFT,,Motor Vehicle,248
2019/01/20 00:00:00+00,1820,1820,700 IRVING AV     ,MV THEFT,,Motor Vehicle,249
2019/01/21 00:00:00+00,1530,1610,1 DESTINY USA DR,LARCENY,,From Building,250
2019/01/21 00:00:00+00,2100,0900,100 W  GENESEE ST     ,LARCENY,,From Building,251
2019/01/21 00:00:00+00,2300,2300,1200 SPRING ST     ,ROBBERY,,All Other,252
2019/01/21 00:00:00+00,1700,1150,1800 E  FAYETTE ST     ,BURGLARY,,From Building,253
2019/01/21 00:00:00+00,0800,1700,300 LEXINGTON AV     ,BURGLARY,,All Other,254
2019/01/21 00:00:00+00,0000,1946,300 RICHMOND AV     ,LARCENY,,From Motor Vehicle,255
2019/01/21 00:00:00+00,1145,1148,400 VALLEY DR     ,LARCENY,,From Motor Vehicle,256
2019/01/21 00:00:00+00,1305,2240,900 ERIE BLVD W ,LARCENY,,From Motor Vehicle,257
2019/01/22 00:00:00+00,1600,0900,100 ANGELOU TER    ,LARCENY,,From Motor Vehicle,258
